,TENANT_ID,NET_SALES
131,OBM00007,50.0
132,OBM00007,264.76
133,OBM00007,297.74
134,OBM00007,50.0
135,OBM00007,214.76
136,OBM00007,214.76
137,OBM00007,361.18
138,OBM00007,293.84
139,OBM00007,361.19
140,OBM00007,473.45
141,OBM00007,264.76
142,OBM00007,234.29
143,OBM00007,390.47
144,OBM00007,1603.12
145,OBM00007,302.61
146,OBM00007,234.29
147,OBM00007,214.76
148,OBM00007,117.14
149,OBM00007,263.57
150,OBM00007,214.76
151,OBM00007,351.43
152,OBM00007,214.76
153,OBM00007,214.76
154,OBM00007,214.76
155,OBM00007,322.14
156,OBM00007,214.76
157,OBM00007,308.69
158,OBM00007,117.14
159,OBM00007,429.52
160,OBM00007,50.0
161,OBM00007,87.86
162,OBM00007,214.76
163,OBM00007,234.29
164,OBM00007,50.0
165,OBM00007,214.76
166,OBM00007,205.0
167,OBM00007,302.62
168,OBM00007,400.24
169,OBM00007,117.14
170,OBM00007,100.0
171,OBM00007,214.76
172,OBM00007,214.76
173,OBM00007,244.04
174,OBM00007,663.8
175,OBM00007,361.19
176,OBM00007,801.46
177,OBM00007,50.0
178,OBM00007,117.14
179,OBM00007,214.76
180,OBM00007,97.62
181,OBM00007,214.76
182,OBM00007,322.15
183,OBM00007,87.86
184,OBM00007,146.42
185,OBM00007,214.76
186,OBM00007,117.14
187,OBM00007,214.76
188,OBM00007,331.9
189,OBM00007,352.61
190,OBM00007,234.28
191,OBM00007,214.76
192,OBM00007,136.66
193,OBM00007,250.0
194,OBM00007,50.0
195,OBM00007,214.76
196,OBM00007,117.14
197,OBM00007,50.0
198,OBM00007,473.45
199,OBM00007,1161.66
200,OBM00007,50.0
201,OBM00007,258.69
202,OBM00007,117.14
203,OBM00007,234.28
204,OBM00007,50.0
205,OBM00007,214.76
206,OBM00007,50.0
207,OBM00007,214.76
208,OBM00007,185.48
209,OBM00007,214.76
210,OBM00007,214.76
211,OBM00007,117.14
212,OBM00007,97.62
213,OBM00007,234.29
214,OBM00007,214.76
215,OBM00007,117.14
216,OBM00007,50.0
217,OBM00007,97.62
218,OBM00007,50.0
219,OBM00007,214.76
220,OBM00007,274.52
221,OBM00007,50.0
222,OBM00007,214.76
223,OBM00007,147.62
224,OBM00007,375.83
225,OBM00007,117.14
226,OBM00007,117.14
227,OBM00007,50.0
228,OBM00007,214.76
229,OBM00007,214.76
230,OBM00007,50.0
231,OBM00007,214.76
232,OBM00007,50.0
233,OBM00007,1033.78
234,OBM00007,87.86
235,OBM00007,214.76
236,OBM00007,117.14
237,OBM00007,214.76
238,OBM00007,263.56
239,OBM00007,117.14
240,OBM00007,136.66
241,OBM00007,50.0
242,OBM00007,331.9
243,OBM00007,117.14
244,OBM00007,234.28
245,OBM00007,409.99
246,OBM00007,214.76
247,OBM00007,117.14
248,OBM00007,200.12
249,OBM00007,87.86
250,OBM00007,439.29
251,OBM00007,117.14
252,OBM00007,87.86
253,OBM00007,234.28
254,OBM00007,263.56
255,OBM00007,214.76
256,OBM00007,264.76
257,OBM00007,331.9
258,OBM00007,117.14
259,OBM00007,50.0
260,OBM00007,830.95
261,OBM00007,352.62
262,OBM00007,50.0
263,OBM00007,255.0
264,OBM00007,214.76
265,OBM00007,449.05
266,OBM00007,43.92
267,OBM00007,258.69
268,OBM00007,117.14
269,OBM00007,50.0
270,OBM00007,546.66
271,OBM00007,50.0
272,OBM00007,317.26
273,OBM00007,87.86
274,OBM00007,100.0
275,OBM00007,117.14
276,OBM00007,137.86
277,OBM00007,87.86
278,OBM00007,234.29
279,OBM00007,50.0
280,OBM00007,214.76
281,OBM00007,283.1
282,OBM00007,214.76
283,OBM00007,214.76
284,OBM00007,50.0
285,OBM00007,258.69
286,OBM00007,264.76
287,OBM00007,50.0
288,OBM00007,205.0
289,OBM00007,50.0
290,OBM00007,87.86
291,OBM00007,117.14
292,OBM00007,361.19
293,OBM00007,50.0
294,OBM00007,224.52
295,OBM00007,258.69
296,OBM00007,205.0
297,OBM00007,156.19
298,OBM00007,87.86
299,OBM00007,214.76
300,OBM00007,214.76
301,OBM00007,655.04
302,OBM00007,87.86
303,OBM00007,214.76
304,OBM00007,300.0
305,OBM00007,258.69
306,OBM00007,50.0
307,OBM00007,629.64
308,OBM00007,566.19
309,OBM00007,541.78
310,OBM00007,234.29
311,OBM00007,100.0
312,OBM00007,97.62
313,OBM00007,50.0
314,OBM00007,830.95
315,OBM00007,733.12
316,OBM00007,596.66
317,OBM00007,214.76
318,OBM00007,214.76
319,OBM00007,50.0
320,OBM00007,214.76
321,OBM00007,283.09
322,OBM00007,606.22
323,OBM00007,214.76
324,OBM00007,224.52
325,OBM00007,214.76
326,OBM00007,50.0
327,OBM00007,214.76
328,OBM00007,100.0
329,OBM00007,234.29
330,OBM00007,351.43
331,OBM00007,87.86
332,OBM00007,278.21
333,OBM00007,50.0
334,OBM00007,68.33
335,OBM00007,302.62
336,OBM00007,331.9
337,OBM00007,411.19
338,OBM00007,214.76
339,OBM00007,214.76
340,OBM00007,331.9
341,OBM00007,214.76
342,OBM00007,381.9
343,OBM00007,100.0
344,OBM00007,34.16
345,OBM00007,214.76
346,OBM00007,473.45
347,OBM00007,167.14
348,OBM00007,292.85
349,OBM00007,322.14
350,OBM00007,100.0
351,OBM00007,50.0
352,OBM00007,497.85
353,OBM00007,302.62
354,OBM00007,87.86
355,OBM00007,375.83
356,OBM00007,50.0
357,OBM00007,175.71
358,OBM00007,87.86
359,OBM00007,468.58
360,OBM00007,214.76
361,OBM00007,214.76
362,OBM00007,146.42
363,OBM00007,214.76
364,OBM00007,429.52
365,OBM00007,214.76
366,OBM00007,214.76
367,OBM00007,258.69
368,OBM00007,214.76
369,OBM00007,50.0
370,OBM00007,518.37
371,OBM00007,50.0
372,OBM00007,214.76
373,OBM00007,273.34
374,OBM00007,214.76
375,OBM00007,478.33
376,OBM00007,50.0
377,OBM00007,375.83
378,OBM00007,214.76
379,OBM00007,497.85
380,OBM00007,58.58
381,OBM00007,331.9
382,OBM00007,117.14
383,OBM00007,234.29
384,OBM00007,50.0
385,OBM00007,263.57
386,OBM00007,150.0
387,OBM00007,396.54
388,OBM00007,100.0
389,OBM00007,567.18
390,OBM00007,615.0
391,OBM00007,429.52
392,OBM00007,50.0
393,OBM00007,380.71
394,OBM00007,312.38
395,OBM00007,50.0
396,OBM00007,50.0
397,OBM00007,331.9
398,OBM00007,258.69
399,OBM00007,214.76
400,OBM00007,429.52
401,OBM00007,258.69
402,OBM00007,214.76
403,OBM00007,214.76
